XCoord,YCoord,START_NODE,END_NODE,EDGE
-117.10269400,32.71894100,494,504,253
-117.10269400,32.71894100,494,617,318
-117.10269400,32.71894100,494,617,319
-117.10292800,32.71912100,500,482,250
-117.10292800,32.71912100,500,488,251
-117.10292800,32.71912100,500,504,252
-117.10292800,32.71912100,500,550,277
-117.10268300,32.71913200,504,500,252
-117.10268300,32.71913200,504,494,253
-117.10268300,32.71913200,504,560,282
-117.10268300,32.71913200,504,628,314
-117.15548900,32.72395600,507,508,254
-117.15548900,32.72395600,507,510,255
-117.15548900,32.72395600,507,510,256
-117.15548900,32.72395600,507,519,260
-117.15548900,32.72395600,507,655,328
-117.15548900,32.72395600,507,655,329
-117.15565200,32.71991100,508,507,254
-117.15530400,32.72397500,510,507,255
-117.15530400,32.72397500,510,507,256
-117.15530400,32.72397500,510,513,257
-117.15530400,32.72397500,510,348,258
-117.15530400,32.72397500,510,348,259
-117.15530400,32.72397500,510,521,263
-117.15474100,32.72047800,513,510,257
-117.15554700,32.72418100,519,507,260
-117.15554700,32.72418100,519,521,261
-117.15554700,32.72418100,519,521,262
-117.15554700,32.72418100,519,660,331
-117.15554700,32.72418100,519,660,332
-117.15554700,32.72418100,519,708,355
-117.15536500,32.72419600,521,519,261
-117.15536500,32.72419600,521,519,262
-117.15536500,32.72419600,521,510,263
-117.15536500,32.72419600,521,362,264
-117.15536500,32.72419600,521,362,265
-117.15536500,32.72419600,521,712,357
-115.99580100,32.72499100,532,306,266
-115.99580100,32.72499100,532,306,267
-115.99580100,32.72499100,532,536,268
-115.99580100,32.72499100,532,536,269
-115.99580100,32.72499100,532,570,286
-116.01788400,32.72663400,536,532,268
-116.01788400,32.72663400,536,532,269
-116.91630400,32.72531000,539,540,270
-116.91630400,32.72531000,539,229,271
-116.91630400,32.72531000,539,229,272
-116.92336400,32.72739200,540,539,270
-116.92336400,32.72739200,540,581,291
-116.92336400,32.72739200,540,581,292
-115.50049200,32.73068400,545,546,273
-115.50049200,32.73068400,545,384,274
-115.50049200,32.73068400,545,776,388
-115.50237100,32.73065500,546,545,273
-115.50237100,32.73065500,546,782,391
-115.50237100,32.73065500,546,782,392
-117.11148500,32.73185300,550,482,275
-117.11148500,32.73185300,550,482,276
-117.11148500,32.73185300,550,500,277
-117.11148500,32.73185300,550,556,279
-117.11148500,32.73185300,550,560,280
-117.11148500,32.73185300,550,560,281
-117.11179600,32.73210800,556,478,278
-117.11179600,32.73210800,556,550,279
-117.11179600,32.73210800,556,566,283
-117.11179600,32.73210800,556,623,312
-117.11151100,32.73212500,560,550,280
-117.11151100,32.73212500,560,550,281
-117.11151100,32.73212500,560,504,282
-117.11151100,32.73212500,560,566,284
-117.11151100,32.73212500,560,840,421
-117.11151100,32.73212500,560,840,422
-117.11184900,32.73243900,566,556,283
-117.11184900,32.73243900,566,560,284
-117.11184900,32.73243900,566,744,373
-117.11184900,32.73243900,566,762,381
-115.99419100,32.73408300,570,254,285
-115.99419100,32.73408300,570,532,286
-115.99419100,32.73408300,570,574,288
-115.99419100,32.73408300,570,788,401
-115.99419000,32.73448000,574,256,287
-115.99419000,32.73448000,574,570,288
-115.99419000,32.73448000,574,577,290
-115.99419000,32.73448000,574,810,408
-115.99419500,32.73541800,577,578,289
-115.99419500,32.73541800,577,574,290
-115.99419500,32.73541800,577,878,442
-116.02398000,32.72864000,578,577,289
-116.94259900,32.73940500,581,540,291
-116.94259900,32.73940500,581,540,292
-116.94259900,32.73940500,581,585,293
-116.94259900,32.73940500,581,585,294
-116.94259900,32.73940500,581,589,296
-116.94259900,32.73940500,581,589,297
-116.94259900,32.73940500,581,693,348
-116.94281000,32.73954800,585,581,293
-116.94281000,32.73954800,585,581,294
-116.94281000,32.73954800,585,599,301
-116.94281000,32.73954800,585,599,302
-116.94281000,32.73954800,585,693,347
-116.95161000,32.73984800,589,590,295
-116.95161000,32.73984800,589,581,296
-116.95161000,32.73984800,589,581,297
-116.95161000,32.73984800,589,596,299
-116.95161000,32.73984800,589,599,300
-116.97715200,32.71529200,590,589,295
-116.95177300,32.73987900,596,450,298
-116.95177300,32.73987900,596,589,299
