JOIN_FID,TARGET_FID_1,ITEM58,ITEM59,ITEM60,NODE1,NODE2,FLOW,MIN_VAL,HEURISTIC
7445,216364,N,N,N,14886,14889,0,0,0
7627,216367,7,7,6,14550,15254,0,6.,0.37046526835197613
7763,216368,5,4,5,15470,15496,0.214953271,4.,0.6948008496109336
7859,216379,7,5,7,15717,15718,0,5.,0.4194743910444696
7333,216388,6,7,6,14546,14664,0.299065421,6.,0.6778639090626857
7171,216389,7,5,5,14242,14342,0.238317757,5.,0.656764819283496
7627,216391,7,5,7,14550,15254,0,5.,0.4194743910444696
7627,216396,N,N,N,14550,15254,0,0,0
6637,216398,4,7,7,13089,13274,0,4.,0.49109078042489707
6490,216400,5,7,7,12722,12980,0.38317757,5.,0.7764357033750698
6483,216401,5,7,7,12869,12966,0.303738318,5.,0.7309877693959895
6194,216402,3,6,5,12382,12388,0.224299065,3.,0.7889608914626153
6552,216403,4,7,7,13074,13080,0.247663551,4.,0.7410173417823418
6556,216404,5,8,7,13100,13108,0.35046729,5.,0.7626743094426781
6552,216405,6,7,7,13074,13080,0.247663551,6.,0.6203918297094209
6550,216406,7,7,7,13092,13100,0.252336449,7.,0.594605677787713
6548,216407,N,N,N,13080,13096,0,0,0
6637,216408,5,8,7,13089,13274,0,5.,0.4194743910444696
6461,216409,7,7,6,12806,12922,0.191588785,6.,0.5392426721241306
6461,216410,3,6,6,12806,12922,0.191588785,3.,0.7403227964935789
6461,216411,N,N,N,12806,12922,0.191588785,0,0
6336,216413,N,N,N,12393,12671,0.224299065,0,0
6555,216414,7,8,7,13089,13108,0.205607477,7.,0.5283642723415253
6595,216415,5,7,7,13108,13186,0.11682243,5.,0.4899649506626077
6637,216416,5,7,7,13089,13274,0,5.,0.4194743910444696
6689,216417,6,7,7,13186,13376,0,6.,0.37046526835197613
6637,216418,5,7,7,13089,13274,0,5.,0.4194743910444696
6354,216419,1,6,7,12386,12704,0.429906542,1.,0.9877241495048635
6357,216420,7,7,7,12704,12714,0.130841121,7.,0.4245242539083327
6362,216421,7,7,7,12704,12722,0.345794393,7.,0.6793140319815801
6413,216422,7,7,7,12726,12826,0.098130841,7.,0.3910948679484151
6490,216423,7,7,7,12722,12980,0.38317757,7.,0.6955409638815012
6490,216424,6,7,6,12722,12980,0.38317757,6.,0.7274265806825764
6490,216425,6,7,7,12722,12980,0.38317757,6.,0.7274265806825764
6637,216426,7,7,7,13089,13274,0,7.,0.3385796515509009
6637,216427,7,7,7,13089,13274,0,7.,0.3385796515509009
6637,216428,6,7,7,13089,13274,0,6.,0.37046526835197613
6490,216429,6,7,7,12722,12980,0.38317757,6.,0.7274265806825764
6552,216430,7,8,7,13074,13080,0.247663551,7.,0.5885062129083457
6336,216431,7,7,7,12393,12671,0.224299065,7.,0.5559951502920917
6354,216432,6,7,7,12386,12704,0.429906542,6.,0.7391442460128126
6354,216433,6,7,7,12386,12704,0.429906542,6.,0.7391442460128126
6354,216434,5,7,7,12386,12704,0.429906542,5.,0.788153368705306
6354,216435,5,7,7,12386,12704,0.429906542,5.,0.788153368705306
6354,216436,4,5,6,12386,12704,0.429906542,4.,0.8597697580857334
6336,216437,4,5,6,12393,12671,0.224299065,4.,0.7085062791660878
